train_logloss,train_auc,train_accuracy,test_logloss,test_auc,test_accuracy
0.3717058577163546,0.8755159998332556,0.8314548078990203,0.3578126597590605,0.8820981637013772,0.8357594742337694
0.3585318401272659,0.8826610776315187,0.8343109855348423,0.35432184434824504,0.8835211221074496,0.8363736871199557
0.3560422037841707,0.8839007855975705,0.8353551795092289,0.3527294981472875,0.8841609756066962,0.8372335851606166
0.3549046895634502,0.8843922999964092,0.8352630447467829,0.35197678833417445,0.8844887538967582,0.8367422148516676
0.3541455809834132,0.8848322639399819,0.834495255059734,0.351289150302848,0.8846989995401987,0.8373564277378539
0.35347149990793447,0.8850709221175391,0.8357851417339762,0.35106630057469373,0.8849400240585418,0.8372950064492353
0.3530963416733249,0.8852880923401142,0.8356008722090845,0.35077571351945985,0.8849628782095393,0.8376021128923284
0.35283035283776515,0.8854387556652877,0.8349559288719633,0.3505325525046286,0.8850483355884295,0.837847798046803
0.3525085681566342,0.8855509934709636,0.8357237185590123,0.3503862117836467,0.8852540856760929,0.8375406916037098
0.352319637436058,0.8856528407024895,0.8354780258591566,0.3502768458699024,0.8851821986027812,0.8372950064492353
